ASM,Contrast,IDM,Entropy,Homogeneity,Sum Mean,Maximum Probability,Dissimilarity,Difference mean,Autocorrelation,Class
3.817086293642906192e-01,4.255694075658009168e-02,1.287102214581415383e-01,-3.483310902197184200e-01,1.367780609099361333e-01,-4.949481092612963429e-01,4.206334497291134289e-01,5.564062609135066173e-02,4.892830662318322088e-01,-5.498495839823031028e-01,1
8.726596690790133781e-02,7.829960371126659657e-01,-1.163469603103974570e-01,-2.847721246360972458e-01,-1.540592150339481214e-01,-3.894191300870536998e-01,1.521664139839714047e-01,7.840391302982185895e-01,-3.687634733167963197e-01,-6.048291645409856754e-01,1
3.455694039197808320e-02,2.627423296622928839e-01,-1.199172701581120021e-01,-2.651373262408896272e-02,-1.209317075879642461e-01,-2.041049803955644615e-01,1.074219080306905438e-01,2.987577200385477805e-01,6.335838405143884300e-01,-2.875120426066918866e-01,1
-2.114360263795531214e+00,1.684882705679824788e+00,-2.265100846004215018e+00,2.057023559663642143e+00,-2.290812269514185484e+00,2.122588459739592981e+00,-2.306149383899656069e+00,1.799382499792959278e+00,-2.167045928905330932e-01,1.886473183378024610e+00,1
-1.166586987328174674e+00,-4.283759160291272794e-01,-6.909972957978020025e-01,1.249467292301923216e+00,-6.386217898897004197e-01,1.374263921521866605e+00,-1.105943812336131371e+00,-3.770792178059773625e-01,2.270590785577249748e-01,1.612611136269516354e+00,1
-1.270699557010866787e+00,-1.740677263808406983e-01,-9.793162593943335326e-01,1.393631450002692507e+00,-9.365336251983824578e-01,1.412776452906834290e+00,-1.221753121874749048e+00,-7.234916993839704547e-02,-2.741145783573669670e-01,1.576685822529177328e+00,1
-2.768259095705639883e+00,2.242431607159246720e+00,-3.188771354969841099e+00,2.813023093440646161e+00,-3.211631801147511123e+00,3.159279768480304007e+00,-3.377385497104288703e+00,2.429009722197197352e+00,9.920083443778671128e-01,2.872257610528987204e+00,1
-3.480685592678327556e-01,7.243521708547318028e-01,-4.171166626746328765e-01,3.908755364668450860e-01,-4.345317350871904516e-01,1.555344788254657551e-01,-2.531661693884604825e-01,6.608132224574526647e-01,3.977374137302859269e-01,3.376167631011135761e-02,1
-9.505856605943565629e-01,5.403032538445650124e-01,-1.036232690291809977e+00,1.116246703188529699e+00,-9.823823134821203507e-01,1.005492890903434855e+00,-8.664291039820091189e-01,5.039225047420818893e-01,7.018551745828124355e-01,1.094119886926100182e+00,1
-7.119635902275873729e-01,1.619961383992569726e-01,-5.764523299727387640e-01,7.984670256504440289e-01,-5.559976146635500216e-01,6.429127561501859489e-01,-6.163862765750645067e-01,2.025271786088364279e-01,8.321913578058954819e-01,6.490765760337323664e-01,1
-1.114363290876010160e+00,2.071988280075435784e-01,-1.195223775612874517e+00,1.288994597082007143e+00,-1.131449220564945124e+00,1.247144192994712908e+00,-1.045407127812105097e+00,2.695392058114307599e-01,6.211708706838569016e-01,1.409517888144036446e+00,1
-9.520841853404213850e-01,1.013431419304309689e+00,-1.136385053416019586e+00,9.545634135852231195e-01,-1.139829910450118833e+00,7.231880392480941611e-01,-8.716931635084211871e-01,1.052722424196703699e+00,-6.387455671356112585e-01,5.494055452269861473e-01,1
-7.953280269027028782e-01,1.111355965608204377e+00,-9.436681446188199818e-01,8.637612646259326121e-01,-9.449860719814933141e-01,5.829900432071962735e-01,-7.032432587226613574e-01,1.076065476326808934e+00,-1.654545437008445724e-02,4.301765028698043003e-01,1
